"location","date","total_cases_per_million"
"Afghanistan",2023-04-19,5183.5
"Africa",2023-04-19,9165.476
"Albania",2023-04-19,117473.485
"Algeria",2023-04-19,6049.543
"American Samoa",2023-04-19,188034.767
"Andorra",2023-04-19,600490.964
"Angola",2023-04-19,2960.269
"Anguilla",2023-04-19,245890.282
"Antigua and Barbuda",2023-04-19,97107.879
"Argentina",2023-04-19,220718.205
"Armenia",2023-04-19,161476.181
"Aruba",2023-04-19,414375.487
"Asia",2023-04-19,62715.313
"Australia",2023-04-19,427023.453
"Austria",2023-04-19,677220.512
"Azerbaijan",2023-04-19,80213.337
"Bahamas",2023-04-19,92692.731
"Bahrain",2023-04-19,473167.024
"Bangladesh",2023-04-19,11905.907
"Barbados",2023-04-19,381088.317
"Belarus",2023-04-19,104251.871
"Belgium",2023-04-19,410675.585
"Belize",2023-04-19,174647.47
"Benin",2023-04-19,2097.977
"Bermuda",2023-04-19,293737.443
"Bhutan",2023-04-19,80073.41
"Bolivia",2023-04-19,97873.433
"Bonaire Sint Eustatius and Saba",2023-04-19,439339.051
"Bosnia and Herzegovina",2023-04-19,124541.6
"Botswana",2023-04-19,125400.525
"Brazil",2023-04-19,173505.569
"British Virgin Islands",2023-04-19,233148.219
"Brunei",2023-04-19,636389.147
"Bulgaria",2023-04-19,192019.41
"Burkina Faso",2023-04-19,972.754
"Burundi",2023-04-19,4168.172
"Cambodia",2023-04-19,8273.332
"Cameroon",2023-04-19,4474.191
"Canada",2023-04-19,120862.156
"Cape Verde",2023-04-19,106729.696
"Cayman Islands",2023-04-19,457961.061
"Central African Republic",2023-04-19,2754.363
"Chad",2023-04-19,434.23
"Chile",2023-04-19,269247.25
"China",2023-04-19,69599.108
"Colombia",2023-04-19,122673.026
"Comoros",2023-04-19,10880.957
"Congo",2023-04-19,4218.792
"Cook Islands",2023-04-19,414220.291
"Costa Rica",2023-04-19,236702.146
"Cote d'Ivoire",2023-04-19,3136.161
"Croatia",2023-04-19,315559.326
"Cuba",2023-04-19,99265.996
"Curacao",2023-04-19,239563.118
"Cyprus",2023-04-19,733146.058
"Czechia",2023-04-19,442007.949
"Democratic Republic of Congo",2023-04-19,969.031
"Denmark",2023-04-19,579833.7
"Djibouti",2023-04-19,13998.292
"Dominica",2023-04-19,216608.483
"Dominican Republic",2023-04-19,58862.903
"Ecuador",2023-04-19,58885.222
"Egypt",2023-04-19,4648.793
"El Salvador",2023-04-19,31845.405
"Equatorial Guinea",2023-04-19,10227.379
"Eritrea",2023-04-19,2765.713
"Estonia",2023-04-19,465742.981
"Eswatini",2023-04-19,62068.105
"Ethiopia",2023-04-19,4058.796
"Europe",2023-04-19,333830.717
"European Union",2023-04-19,407911.246
"Faeroe Islands",2023-04-19,652484.139
