"uri","name","genres","followers","popularity","image_url"
"spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","Pop",111416419,91,"https://i.scdn.co/image/ab6761610000e5eb9e690225ad4445530612ccc9"
"spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande","Pop",89788209,90,"https://i.scdn.co/image/ab6761610000e5ebcdce7620dc940db079bf4952"
"spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","Pop",79583681,89,"https://i.scdn.co/image/ab6761610000e5ebd8b9980db67272cb4d2c3daf"
"spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","Pop, Hip-Hop",74636510,96,"https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9"
"spotify:artist:4YRxDV8wJFPHPTeXepOstw","Arijit Singh","Pop",74442196,88,"https://i.scdn.co/image/ab6761610000e5eb0261696c5df3be99da6ed3f3"
"spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","Pop",72646715,100,"https://i.scdn.co/image/ab6761610000e5eb5a00969a4698c3132a15fbb0"
"spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","Pop",71434988,90,"https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36"
"spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","Hip-Hop",69460519,92,"https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b"
"spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX","BTS","Pop",63942413,90,"https://i.scdn.co/image/ab6761610000e5eb5704a64f34fe29ff73ab56bb"
"spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","Pop, R&B",63593728,97,"https://i.scdn.co/image/ab6761610000e5eb01b9b4ec2a05d0805428acfa"
"spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","Pop",54628296,91,"https://i.scdn.co/image/ab6761610000e5eb99e4fca7c0b7cb166d915789"
"spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","Pop",47783738,86,"https://i.scdn.co/image/ab6761610000e5eb68f6e5892075d7f22615bd17"
"spotify:artist:0du5cEVh5yTK9QJze8zA0C","Bruno Mars","Pop",47762222,88,"https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd"
"spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","Pop, Rock",47239222,88,"https://i.scdn.co/image/ab6761610000e5eb920dc1f617550de8388f368e"
"spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","Rock",46312898,85,"https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982"
"spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","Pop",43537892,89,"https://i.scdn.co/image/ab6761610000e5eb989ed05e1f0570cc4726c2d3"
"spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx","Selena Gomez","Pop",41788925,86,"https://i.scdn.co/image/ab6761610000e5eba5205abffd84341e5bace828"
"spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","Pop",41378267,84,"https://i.scdn.co/image/ab6761610000e5eb46e7a06fa6dfefaed6a3f0db"
"spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","Hip-Hop",41325214,87,"https://i.scdn.co/image/ab6761610000e5ebf0c20db5ef6c6fbe5135d2e4"
"spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","Pop",40386661,89,"https://i.scdn.co/image/ab6761610000e5eb6be070445b03e0b63147c2c1"
"spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","Pop",40301460,86,"https://i.scdn.co/image/ab6761610000e5eb288ac05481cedc5bddb5b11b"
